,datetime,timezone,file_source,status_log,description_file,status_web,ip_address,server,web_server,request,web_request,host,web_host
0,2022-10-05 09:00:40,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
5,2022-10-05 08:00:58,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,36.66.88.98,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
7,2022-10-05 07:59:40,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
9,2022-10-05 07:56:40,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,116.12.147.50,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
11,2022-10-05 07:56:29,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,116.12.147.50,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
13,2022-10-05 07:55:12,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/security.txt,[nginx][error],(2: No such file or directory),failed,71.6.158.166,server:,goldenagri.com.sg,request:,GET /.well-known/security.txt HTTP/1.1,host:,goldenagri.com.sg
15,2022-10-05 07:22:52,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/assetlinks.json,[nginx][error],(2: No such file or directory),failed,66.249.68.18,server:,goldenagri.com.sg,request:,GET /.well-known/assetlinks.json HTTP/1.1,host:,goldenagri.com.sg
17,2022-10-05 06:59:38,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
19,2022-10-05 06:58:38,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
21,2022-10-05 06:48:22,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,103.6.151.76,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
23,2022-10-05 06:48:11,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,103.6.151.76,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
25,2022-10-05 06:33:57,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,36.66.88.98,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
27,2022-10-05 06:33:48,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,36.66.88.98,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
29,2022-10-05 06:33:39,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,36.66.88.98,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
31,2022-10-05 06:33:30,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,36.66.88.98,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
34,2022-10-05 05:58:33,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
36,2022-10-05 05:57:25,UTC,openat() /home/u3-g8our64huscn/www/goldenagri.com.sg/public_html/.well-known/autoconfig/mail/autodiscover.xml,[nginx][error],(2: No such file or directory),failed,66.96.249.130,server:,goldenagri.com.sg,request:,POST /autodiscover/autodiscover.xml HTTP/1.1,host:,goldenagri.com.sg
